ResponseId,Age,EdLevel,Employment,WorkExp,LearnCodeAI,DevType,OrgSize,RemoteWork,Industry,Country,Language,Database,Salary,EDU,WE,SS Index
2614,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,20,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","10,000 or more employees",Remote,Software Development,United States of America,Bash/Shell (all shells);Java;JavaScript;PowerShell,H2;PostgreSQL,221000,1.25,0.5,138125
2624,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, embedded applications or devices","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Manufacturing,Netherlands,Assembly;C;C#;C++;PowerShell;Python,NA,7657,0.9,0.684210526,4715.1
2629,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Architect, software or solutions","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Other:,Switzerland,Bash/Shell (all shells);Groovy;Java,NA,122753,1,0.947368421,116292.3158
2630,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, desktop or enterprise applications","1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,Bash/Shell (all shells);Go;HTML/CSS;Java;PowerShell;Python;SQL;VBA,Microsoft SQL Server,70554,0.9,0.5,31749.3
2632,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,41,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",DevOps engineer or professional,"1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",United States of America,Bash/Shell (all shells);C++;Python,NA,300000,1,0.5,150000
2633,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","10,000 or more employees",Remote,Retail and Consumer Services,United States of America,Bash/Shell (all shells);Java;Scala;SQL;TypeScript,Dynamodb;Elasticsearch,300000,0.9,0.789473684,213157.8947
2634,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3,"No, I didn't spend time learning in the past year","Developer, back-end","1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Other:,United States of America,C;C++;MATLAB;Python,NA,165000,0.9,0.947368421,140684.2105
2640,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,19,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)","Internet, Telecomm or Information Services",United States of America,Java;JavaScript;TypeScript,Cassandra;Redis,130000,1,0.526315789,68421.05263
2642,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,15,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack","1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Other:,Germany,C#;C++;JavaScript;Kotlin;PowerShell;SQL;TypeScript,Microsoft SQL Server;SQLite,106269,0.8,0.631578947,53693.81053
2644,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Fintech,Poland,Java;SQL,PostgreSQL;Redis,23742,0.9,0.526315789,11246.21053
2645,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5,"No, I didn't spend time learning in the past year","Developer, embedded applications or devices",100 to 499 employees,In-person,Software Development,Finland,Java;Lua;Python,NA,62648,0.9,0.894736842,50448.12632
2648,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,37,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, desktop or enterprise applications",100 to 499 employees,Remote,Software Development,United States of America,Bash/Shell (all shells);C;Delphi;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server;PostgreSQL;SQLite,160000,1,0.5,80000
2651,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, full-stack","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)",Government,United States of America,C#;HTML/CSS;JavaScript;PowerShell;SQL,Microsoft SQL Server,140000,1,0.763157895,106842.1053
2656,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, mobile","10,000 or more employees",Remote,Retail and Consumer Services,United States of America,HTML/CSS;PHP;Swift,SQLite,120000,1,0.684210526,82105.26316
2658,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,2,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, back-end","5,000 to 9,999 employees",In-person,Software Development,Sweden,C#;PowerShell,MongoDB,55346,0.9,0.973684211,48500.57368
2659,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, front-end","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb,150000,1,0.815789474,122368.4211
2660,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10,"No, I didn't spend time learning in the past year","Developer, front-end",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Fintech,Germany,Bash/Shell (all shells);C++;Delphi;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Python;R;SQL;TypeScript,NA,92812,0.9,0.763157895,63747.18947
2664,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack","1,000 to 4,999 employees",Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,C#;JavaScript,Microsoft SQL Server,54457,1,0.815789474,44425.44737
2668,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",DevOps engineer or professional,100 to 499 employees,Remote,"Transportation, or Supply Chain",Brazil,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Lua;Python;Ruby;SQL,BigQuery;Cloud Firestore;Dynamodb;Elasticsearch;InfluxDB;MongoDB;PostgreSQL;Redis;SQLite,109222,1,0.631578947,68982.31579
2673,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Software Development,Ukraine,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Cosmos DB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,10000,1,0.973684211,9736.842105
2674,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,"No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career","Developer, back-end",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,Bash/Shell (all shells);Java,Oracle,77730,0.9,0.815789474,57070.18421
2681,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data scientist,"10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,United States of America,Bash/Shell (all shells);HTML/CSS;Python;R;SQL;VBA,PostgreSQL,150000,0.9,0.684210526,92368.42105
2682,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,Healthcare,United States of America,Bash/Shell (all shells);C#;PowerShell;SQL;TypeScript,Dynamodb;Microsoft SQL Server;MongoDB;PostgreSQL,135000,1,0.789473684,106578.9474
2683,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Financial analyst or engineer,"5,000 to 9,999 employees","Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Switzerland,C++;Python;Rust,NA,340980,0.9,0.5,153441
2684,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, front-end","1,000 to 4,999 employees",Remote,Software Development,United States of America,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,H2;Microsoft SQL Server;Oracle;Redis,130000,1,0.710526316,92368.42105
2686,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, back-end","1,000 to 4,999 employees",In-person,Software Development,Germany,Bash/Shell (all shells);C#;GDScript;Go;Java;JavaScript;Kotlin;TypeScript,NA,150819,1,0.815789474,123036.5526
2698,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, back-end","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,Poland,C++;Go;Python;Rust,NA,172199,0.8,0.5,68879.6
2701,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,18,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack","10,000 or more employees",Remote,Fintech,Argentina,C#;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;SQLite;Supabase,38388,1,0.552631579,21214.42105
2704,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, game or graphics",500 to 999 employees,Remote,Computer Systems Design and Services,Portugal,C++;JavaScript;Lua;Python;Rust,NA,81210,0.9,0.5,36544.5
2706,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data or business analyst,"10,000 or more employees",Remote,Government,Canada,HTML/CSS;JavaScript,MongoDB,65663,1,0.710526316,46655.28947
2707,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, game or graphics",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Perl;Python;SQL;Swift,SQLite,98022,0.9,0.710526316,62682.48947
2708,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,"Internet, Telecomm or Information Services",United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript,MongoDB,148000,1,0.657894737,97368.42105
2710,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,5,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",System administrator,"1,000 to 4,999 employees",In-person,Manufacturing,Germany,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python;Ruby;SQL,Elasticsearch;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,58471,1.25,0.894736842,65395.19737
2713,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,"No, I didn't spend time learning in the past year","Developer, full-stack",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,France,GDScript;Java;JavaScript;Python;Rust;TypeScript,PostgreSQL,139218,0.9,0.710526316,89026.24737
2717,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Architect, software or solutions","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)","Transportation, or Supply Chain",Poland,Bash/Shell (all shells);Go;Java;Kotlin;PowerShell;Python;SQL,Dynamodb;Elasticsearch;PostgreSQL,88692,1,0.789473684,70020
2718,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Architect, software or solutions","10,000 or more employees","Hybrid (some remote, leans heavy to in-person)",Manufacturing,France,Assembly;Bash/Shell (all shells);C;C#;C++;Groovy;MATLAB;PowerShell;Python;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;MySQL,91072,0.9,0.657894737,53924.21053
2722,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, back-end","1,000 to 4,999 employees",Remote,Software Development,United States of America,Bash/Shell (all shells);Groovy;Java;JavaScript;PowerShell;Python;SQL,Dynamodb;Elasticsearch;H2;Oracle;PostgreSQL,150000,1,0.710526316,106578.9474
2723,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",500 to 999 employees,Remote,Higher Education,United States of America,Assembly;C;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server,84000,0.9,0.5,37800
2726,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,13,"No, I didn't spend time learning in the past year","Developer, back-end","10,000 or more employees",In-person,Software Development,United States of America,C;C++;PHP;Python;Rust,MySQL,1250000,1,0.684210526,855263.1579
2728,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack","5,000 to 9,999 employees","Hybrid (some remote, leans heavy to in-person)",Banking/Financial Services,Japan,Assembly;Bash/Shell (all shells);Go;HTML/CSS;Perl;PowerShell;Python;SQL,PostgreSQL;Redis;SQLite,200356,1,0.5,100178
2729,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,30,"No, I didn't spend time learning in the past year",Data engineer,"5,000 to 9,999 employees",In-person,Energy,United States of America,Python;SQL,Microsoft SQL Server;Oracle;PostgreSQL;Snowflake;SQLite,250000,0.9,0.5,112500
2733,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, back-end","5,000 to 9,999 employees",Remote,"Transportation, or Supply Chain",Germany,JavaScript;Lisp;Python,Neo4J;Oracle,81210,0.9,0.815789474,59625.23684
2736,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, desktop or enterprise applications","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Other:,United States of America,C#;C++;SQL,Microsoft SQL Server,128000,1,0.5,64000
2737,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data engineer,"1,000 to 4,999 employees",Remote,"Internet, Telecomm or Information Services",Mexico,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,PostgreSQL;Redis;Snowflake,78959,1,0.5,39479.5
2740,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,New Zealand,Bash/Shell (all shells);C++;PowerShell;SQL,Microsoft SQL Server,96979,1,0.710526316,68906.13158
2745,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,3,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data scientist,"1,000 to 4,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,Germany,Python;SQL,BigQuery;PostgreSQL,60328,0.8,0.947368421,45722.27368
2749,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Insurance,United States of America,C#;Python;TypeScript,Cosmos DB;Microsoft SQL Server;SQLite,100000,0.8,0.789473684,63157.89474
2750,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, desktop or enterprise applications","10,000 or more employees",Remote,Software Development,Brazil,C#;HTML/CSS;JavaScript;Python;SQL;VBA,Firebase Realtime Database;Microsoft SQL Server;MongoDB;Redis,27306,1,0.5,13653
2754,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,21,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,Remote,Media & Advertising Services,United States of America,Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA,Cloud Firestore;Microsoft SQL Server;MySQL;PostgreSQL;Redis,170000,1,0.5,85000
2755,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data scientist,100 to 499 employees,Remote,Insurance,United States of America,Python;R;SQL,Databricks SQL;Microsoft SQL Server,200000,0.9,0.763157895,137368.4211
2757,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",Data engineer,"5,000 to 9,999 employees","Hybrid (some in-person, leans heavy to flexibility)",Other:,United States of America,Bash/Shell (all shells);C;C#;C++;Fortran;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript;VBA;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;SQLite,120000,0.9,0.789473684,85263.15789
2762,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,17,NA,"Developer, back-end","10,000 or more employees",Remote,Software Development,Germany,Bash/Shell (all shells);Java;Kotlin;Python,MongoDB,116015,0.9,0.578947368,60449.92105
2764,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, QA or test","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,United States of America,Bash/Shell (all shells);JavaScript;Kotlin;Ruby;TypeScript,NA,200000,1,0.763157895,152631.5789
2765,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",Data engineer,"10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Brazil,Bash/Shell (all shells);Python;SQL,NA,41868,0.9,0.868421053,32723.14737
2774,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,35,"No, I didn't spend time learning in the past year",Cloud infrastructure engineer,"10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,Canada,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL,NA,145917,0.9,0.5,65662.65
2776,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, front-end",100 to 499 employees,Remote,Software Development,Romania,HTML/CSS;TypeScript,NA,49625,1,0.815789474,40483.55263
2778,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools required for my job or to benefit my career","Developer, full-stack",100 to 499 employees,Remote,Software Development,United States of America,JavaScript;Python;Rust;SQL;TypeScript,InfluxDB;PostgreSQL;Redis,240000,0.9,0.789473684,170526.3158
2785,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,33,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data engineer,100 to 499 employees,Remote,"Internet, Telecomm or Information Services",United States of America,Bash/Shell (all shells);HTML/CSS;Python;SQL,MySQL;PostgreSQL;Snowflake,143000,0.8,0.5,57200
2786,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, front-end","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,PostgreSQL,120000,1,0.815789474,97894.73684
2788,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, front-end","10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Romania,HTML/CSS;JavaScript;TypeScript,NA,49625,0.9,0.710526316,31733.88158
2789,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, embedded applications or devices","10,000 or more employees",Remote,"Internet, Telecomm or Information Services",Poland,Bash/Shell (all shells);C;C++;Elixir;Erlang;GDScript;Lisp;Python;Rust;SQL,NA,35477,1,0.947368421,33609.78947
2792,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,Python;Ruby;Rust;SQL,Elasticsearch;MySQL;PostgreSQL;Redis;Valkey,104000,1,0.894736842,93052.63158
2797,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","1,000 to 4,999 employees",Remote,Retail and Consumer Services,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,BigQuery;MariaDB;MongoDB;Redis;SQLite,157243,1,0.5,78621.5
2798,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data engineer,100 to 499 employees,Remote,Software Development,Ukraine,Bash/Shell (all shells);Python;Scala;SQL,Databricks SQL,47932,0.9,0.894736842,38597.87368
2799,45-54 years old,"Associate degree (A.A., A.S., etc.)",Employed,20,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,Fintech,Greece,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,58007,1.15,0.5,33354.025
2803,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Other:,Germany,C#;Java,NA,129936,1,0.5,64968
2806,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end","1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Software Development,United States of America,Bash/Shell (all shells);Python,PostgreSQL;Redis,135000,0.9,0.815789474,99118.42105
2807,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,20,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, back-end",100 to 499 employees,"Hybrid (some in-person, leans heavy to flexibility)",Higher Education,Canada,COBOL;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,BigQuery;Cloud Firestore;MySQL;Oracle;PostgreSQL,75147,0.8,0.5,30058.8
2811,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",Data or business analyst,100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Insurance,United States of America,Python;R;SQL,NA,85000,1,0.921052632,78289.47368
2813,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,19,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions","1,000 to 4,999 employees",Remote,"Internet, Telecomm or Information Services",United States of America,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;Ruby;Scala;SQL;Swift;TypeScript,BigQuery;Dynamodb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite;Clickhouse,1200000,1,0.526315789,631578.9474
2819,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Data engineer,"1,000 to 4,999 employees","Hybrid (some remote, leans heavy to in-person)",Media & Advertising Services,France,Bash/Shell (all shells);Python;Scala;SQL,BigQuery;DuckDB;Elasticsearch;MongoDB;PostgreSQL,60328,0.9,0.947368421,51437.55789
2820,35-44 years old,"Associate degree (A.A., A.S., etc.)",Employed,20,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies","Developer, full-stack",100 to 499 employees,Remote,Media & Advertising Services,Germany,HTML/CSS;JavaScript;PHP;SQL,Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;Redis,73159,1.15,0.5,42066.425
2822,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Developer, embedded applications or devices","10,000 or more employees",Remote,Software Development,United States of America,Assembly;Bash/Shell (all shells);C;C++;Go;Lua;Python;Rust,NA,400000,1,0.5,200000
2824,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,28,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies","Architect, software or solutions",100 to 499 employees,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,HTML/CSS;JavaScript;TypeScript,NA,87011,1,0.5,43505.5
2826,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",Cloud infrastructure engineer,"10,000 or more employees","Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,Bash/Shell (all shells);Go;Java;Python,MongoDB;Redis;SQLite,245000,0.9,0.789473684,174078.9474
